file1行範囲,file1テキスト,file2行範囲,file2テキスト,差分行
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html," <h2 id=""_local_business_process""><a class=""anchor"" href=""#_local_business_process""></a>2. Local business process</h2>"
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html," <div class=""sectionbody"">"
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html," <div class=""paragraph"">"
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html,-<p>Following sections describe how the PINT Billing specification is applied to support local business processes.</p>
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html,+<p>Following sections describe how this specification is applied to support local business processes.</p>
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html," <div class=""sect2"">"
"-1080,7",data/JP-PINT/pint-jp.html,"+1103,7",data/JP-PINT/pint-jp-ntr.html," <h3 id=""_summarised_invoice_process""><a class=""anchor"" href=""#_summarised_invoice_process""></a>2.1. Summarised invoice process</h3>"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html," <p>In Summarised invoicing process, the supplier sends a Delivery Note to the customer with each delivery and the buyer uses the information in the Delivery Note to verify the reception of the items.</p>"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html," <div class=""paragraph"">"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html,"-<p>The Delivery Note is focused on providing information about the items that are being delivered. At the end of a period (usually a month) the supplier sends an invoice that summarises the items that were delivered during that period. The invoice contains represents a claim for payment and contains all information required by Consumption tax law as a Qualified Invoice, in principle.</p>"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html,"+<p>The Delivery Note is focused on providing information about the items that are being delivered. At the end of a period (usually a month) the supplier sends an invoice that summarises the items that were delivered during that period. The invoice contains represents a claim for payment and contains all information required by Consumption tax law as a Non-tax Invoice, in principle.</p>"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html," <div class=""imageblock text-center"">"
"-1088,7",data/JP-PINT/pint-jp.html,"+1111,7",data/JP-PINT/pint-jp-ntr.html," <div class=""content"">"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html, </div>
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html, </div>
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html," <div class=""paragraph"">"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"-<p>However, in practice, there is a case where an invoice doesn’t contain all information required as a Qualified Invoice. For instance, there is a case where the Delivery Note Number is just mentioned in the Item name of the invoice. In such a case, it is usual that the necessary information (maybe, information related to Item name) is included in the Delivery Note.</p>"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"-<p>So, in Japan, there is a case where the combination of the invoice and the Delivery Note works as a Qualified Invoice and the customer can claim input tax credit by retaining both the invoice and the Delivery Note.</p>"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"+<p>However, in practice, there is a case where an invoice doesn’t contain all information required as a Non-tax Invoice. For instance, there is a case where the Delivery Note Number is just mentioned in the Item name of the invoice. In such a case, it is usual that the necessary information (maybe, information related to Item name) is included in the Delivery Note.</p>"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,+</div>
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"+<div class=""paragraph"">"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html,"+<p>So, in Japan, there is a case where the combination of the invoice and the Delivery Note works as a Non-tax Invoice and the customer can claim input tax credit by retaining both of them.</p>"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html, </div>
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html," <div class=""imageblock text-center"">"
"-1096,10",data/JP-PINT/pint-jp.html,"+1119,10",data/JP-PINT/pint-jp-ntr.html," <div class=""content"">"
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html," <div class=""ulist"">"
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html, <ul>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html, <li>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html,-<p>Standard Japanese Invoice (380)</p>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html,+<p>Non-tax Invoice (480)</p>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html, </li>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html, </ul>
"-1146,7",data/JP-PINT/pint-jp.html,"+1169,7",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </li>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </ul>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<p>The invoice used in this process is the same data model as specified for the Standard Japanese Invoice. In practice, to refer the Delivery Note, a reference in each invoice line should be used.</p>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<p>If Delivery Note is used in Summarised invoicing process, Tax amount should not be included in the Delivery Note.</p>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""sect3"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<h4 id=""_standard_japanese_invoice""><a class=""anchor"" href=""#_standard_japanese_invoice""></a>2.1.2. Standard Japanese Invoice</h4>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<p>The invoice used in this process is the same data model as specified for the Standard Japanese Invoice process, but with additional rules.</p>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html," <div class=""sect2"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html," <h3 id=""_negative_invoices_and_credit_notes""><a class=""anchor"" href=""#_negative_invoices_and_credit_notes""></a>2.2. Negative invoices and credit notes</h3>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html," <div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-<p>The negative invoice is usually used to correct a mistake or give a credit to the customer.</p>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<p>Standard Japanese invoice (document type code:380) is usually used as the negative invoice, instead of Credit Note (document type code: 381).</p>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,-</div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<div class=""paragraph"">"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,"-<p>However, there are some cases where the Credit Note is used as the negative invoice. For instance, Japanese businesses would receive the Credit Note as the negative invoice issued by foreign businesses.</p>"
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html,+<p>The negative invoice is usually used to correct a mistake or give a credit to the customer. A Non-tax Invoice (480) is usually used as a negative invoice.</p>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1157,30",data/JP-PINT/pint-jp.html,"+1180,12",data/JP-PINT/pint-jp-ntr.html, </div>
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html," <div class=""content"">"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html," <pre class=""CodeRay highlight""><code data-lang=""xml""><span class=""tag"">&lt;cac:AccountingSupplierParty&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"     <span class=""tag"">&lt;cac:Party&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"-        <span class=""tag"">&lt;cbc:EndpointID</span> <span class=""attribute-name"">schemeID</span>=<span class=""string""><span class=""delimiter"">&quot;</span><span class=""content"">0188</span><span class=""delimiter"">&quot;</span></span><span class=""tag"">&gt;</span>1234567890123<span class=""tag"">&lt;/cbc:EndpointID&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"-        <i class=""conum"" data-value=""1""></i><b>(1)</b>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"+        <span class=""tag"">&lt;cbc:EndpointID</span> <span class=""attribute-name"">schemeID</span>=<span class=""string""><span class=""delimiter"">&quot;</span><span class=""content"">0188</span><span class=""delimiter"">&quot;</span></span><span class=""tag"">&gt;</span>1234567890123<span class=""tag"">&lt;/cbc:EndpointID&gt;</span>  <i class=""conum"" data-value=""1""></i><b>(1)</b>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"         <span class=""tag"">&lt;cac:PartyIdentification&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"-            <span class=""tag"">&lt;cbc:ID</span> <span class=""attribute-name"">schemeID</span>=<span class=""string""><span class=""delimiter"">&quot;</span><span class=""content"">0147</span><span class=""delimiter"">&quot;</span></span><span class=""tag"">&gt;</span>123456:000123:0147:1<span class=""tag"">&lt;/cbc:ID&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"-            <i class=""conum"" data-value=""2""></i><b>(2)</b>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"+            <span class=""tag"">&lt;cbc:ID</span> <span class=""attribute-name"">schemeID</span>=<span class=""string""><span class=""delimiter"">&quot;</span><span class=""content"">0147</span><span class=""delimiter"">&quot;</span></span><span class=""tag"">&gt;</span>123456:000123:0147:1<span class=""tag"">&lt;/cbc:ID&gt;</span>  <i class=""conum"" data-value=""2""></i><b>(2)</b>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"         <span class=""tag"">&lt;/cac:PartyIdentification&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"         <span class=""tag"">&lt;cac:PartyName&gt;</span>"
"-1209,11",data/JP-PINT/pint-jp.html,"+1214,9",data/JP-PINT/pint-jp-ntr.html,"             <span class=""tag"">&lt;cbc:Name&gt;</span>株式会社 〇〇商事<span class=""tag"">&lt;/cbc:Name&gt;</span>  <i class=""conum"" data-value=""3""></i><b>(3)</b>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"                 <span class=""tag"">&lt;cbc:IdentificationCode&gt;</span>JP<span class=""tag"">&lt;/cbc:IdentificationCode&gt;</span>  <i class=""conum"" data-value=""4""></i><b>(4)</b>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"             <span class=""tag"">&lt;/cac:Country&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"         <span class=""tag"">&lt;/cac:PostalAddress&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-        <span class=""tag"">&lt;cac:PartyTaxScheme&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-            <span class=""tag"">&lt;cbc:CompanyID&gt;</span>T1234567890123<span class=""tag"">&lt;/cbc:CompanyID&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-            <i class=""conum"" data-value=""5""></i><b>(5)</b>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-            <span class=""tag"">&lt;cac:TaxScheme&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-                <span class=""tag"">&lt;cbc:ID&gt;</span>VAT<span class=""tag"">&lt;/cbc:ID&gt;</span>  <i class=""conum"" data-value=""6""></i><b>(6)</b>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-            <span class=""tag"">&lt;/cac:TaxScheme&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"-        <span class=""tag"">&lt;/cac:PartyTaxScheme&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"         <span class=""tag"">&lt;cac:PartyLegalEntity&gt;</span>"
"-1231,13",data/JP-PINT/pint-jp.html,"+1234,6",data/JP-PINT/pint-jp-ntr.html,"             <span class=""tag"">&lt;cbc:RegistrationName&gt;</span>株式会社 〇〇商事<span class=""tag"">&lt;/cbc:RegistrationName&gt;</span>  <i class=""conum"" data-value=""7""></i><b>(7)</b>"
